Feedback,Category,OrderDate,ArrivalDate,UserID,ProductID
제품이 실용적입니다,가격,2022-11-23 02:00:00,2022-12-01 17:00:00,13,132
고객 서비스가 탁월합니다,배송,2022-02-21 05:00:00,2022-02-23 06:00:00,16,165
제품이 견고합니다,배송,2022-01-19 18:00:00,2022-01-29 03:00:00,1,109
가격 경쟁력이 뛰어납니다,서비스,2022-01-01 19:00:00,2022-01-10 16:00:00,4,157
제품의 성능이 우수합니다,품질,2022-10-29 07:00:00,2022-11-03 10:00:00,4,132
매장의 분위기가 좋았습니다,서비스,2022-04-25 04:00:00,2022-04-30 08:00:00,8,131
배송이 안전하게 왔습니다,환경,2022-05-28 22:00:00,2022-05-30 14:00:00,10,174
고객 응대가 친절했습니다,서비스,2022-08-07 07:00:00,2022-08-17 03:00:00,19,123
배송 상태가 좋았습니다,서비스,2022-04-07 04:00:00,2022-04-10 10:00:00,5,135
매우 만족스러운 서비스였습니다,가격,2022-02-18 21:00:00,2022-02-20 18:00:00,7,175
가격이 합리적이었습니다,서비스,2022-06-05 11:00:00,2022-06-12 13:00:00,13,155
제품 사용이 편리합니다,서비스,2022-10-06 06:00:00,2022-10-15 21:00:00,2,128
고객 응대가 신속했습니다,품질,2022-01-05 05:00:00,2022-01-11 07:00:00,7,134
서비스가 고객을 진심으로 고려하고 있습니다,서비스,2022-11-26 10:00:00,2022-12-05 03:00:00,8,100
가격 대비 성능이 좋습니다,서비스,2022-11-20 10:00:00,2022-11-21 11:00:00,15,100
배송이 정확했습니다,품질,2022-03-23 23:00:00,2022-03-28 19:00:00,18,136
제품이 내구성이 강합니다,서비스,2022-03-07 10:00:00,2022-03-15 11:00:00,6,153
배송이 예상보다 빨랐습니다,품질,2022-12-06 21:00:00,2022-12-10 08:00:00,14,105
제품 사용 설명이 명확합니다,배송,2022-04-14 23:00:00,2022-04-16 09:00:00,9,138
제품 사용에 만족합니다,서비스,2022-09-21 06:00:00,2022-09-30 13:00:00,10,117
제품이 가성비가 좋습니다,서비스,2022-11-07 11:00:00,2022-11-16 04:00:00,17,179
가격이 경제적입니다,서비스,2022-04-21 04:00:00,2022-04-26 18:00:00,6,104
제품의 품질이 만족스럽습니다,품질,2022-03-16 07:00:00,2022-03-18 23:00:00,16,142
서비스가 사용자 친화적입니다,서비스,2022-04-29 16:00:00,2022-04-30 19:00:00,16,158
서비스가 인상적이었습니다,환경,2022-09-19 10:00:00,2022-09-26 11:00:00,1,131
친환경적인 포장이 인상적이었습니다,품질,2022-03-19 14:00:00,2022-03-22 08:00:00,19,101
제품 디자인이 매력적입니다,서비스,2022-12-19 20:00:00,2022-12-24 11:00:00,4,165
제품 색상이 다양합니다,서비스,2022-09-09 02:00:00,2022-09-12 21:00:00,18,141
배송 속도가 빠릅니다,서비스,2022-07-25 16:00:00,2022-07-31 11:00:00,15,157
제품이 사용하기 편리합니다,품질,2022-02-08 01:00:00,2022-02-15 06:00:00,8,135
